"","user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"1","797938584246333440","Cheri Ruzich","CheriRuzich","","#MAGA, #QAnon Wife, mother, walnut farmer, artist, gardener, quilter.",NA,FALSE,683,1591,0,654,6184,2016-11-13 23:05:58,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/797938584246333440/1482000539",NA,"http://pbs.twimg.com/profile_images/810195106074533888/YmyORpdG_normal.jpg"
"2","895864661467201538","Terrence Vaughn","TerrenceVaugh13","Newport, OR","occasionally an old fool, reality challenged with occasional, but very rare moments of clarity. sometimes harmless to myself even.",NA,FALSE,404,2060,0,218,1880,2017-08-11 04:29:14,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/895864661467201538/1518198732",NA,"http://pbs.twimg.com/profile_images/962021318290915328/oOrAXTPD_normal.jpg"
"3","456313298","YCorrea","dyc2012","","I am only one, but I am one. I can't do everything, but I can do something. The something I ought to do, I can do.And with the grace of God, I will.Ed Everett",NA,FALSE,37,308,3,6165,61,2012-01-06 03:27:58,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme4/bg.gif","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"4","2218418312","Jonathan Nolan","FlyingTigerComx","Purple Twilight","Stop Motion Animator. Comic book author and artist. Day job: manager. Stalkers: 2 persistent, 1 military pervert who should know better. #SupportIndieFilm","https://t.co/RtzCstE4mM",FALSE,1203,939,124,62028,4508,2013-11-27 20:54:04,FALSE,"https://t.co/RtzCstE4mM","http://thesevensidedcube.com","en-gb","https://pbs.twimg.com/profile_banners/2218418312/1514976318","http://pbs.twimg.com/profile_background_images/487456218781196288/8BsTt8Er.jpeg","http://pbs.twimg.com/profile_images/948505150145966080/YhEz4BqR_normal.jpg"
"5","918562485837410305","SwampCleaner","cleaner_swamp","33050","#TRUMP #ClintonFoundation  #SETHRICH #MAGA #LockHerUp",NA,FALSE,655,337,1,24904,22625,2017-10-12 19:42:17,FALSE,NA,NA,"en",NA,NA,"http://pbs.twimg.com/profile_images/918680243854028800/HgWEgT1p_normal.jpg"
"6","384005220","woitek j","woitekj","","yuuuge trump supporter from the beginning  ,politically incorrect,  capitalist,deplorable, allergenic to stupid .maga 2020",NA,FALSE,6225,3580,718,535218,9019,2011-10-02 22:14:14,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/384005220/1472617751","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/702931453785436161/WYeQZm3m_normal.png"
"7","590548511","Carl David Greiner","CarlGreiner","","",NA,FALSE,809,1281,119,59095,9248,2012-05-26 03:23:40,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"8","928618363","Family for Trump","TheresaMechele","United States","I am a proud American. I believe in God, Country and American Exceptionalism. Love the Red, White and Blue. Started: #MakeAmericaSafeAgain 
Love My President!","https://t.co/O5S0tGtvtj",FALSE,46080,2415,188,29020,21806,2012-11-05 23:31:43,FALSE,"https://t.co/O5S0tGtvtj","http://donaldjtrump.com","en","https://pbs.twimg.com/profile_banners/928618363/1516421005","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/714033206320885760/Z6dojycM_normal.jpg"
"9","804541688651726848","Marcie","Marcie_too","","Not a Journalist or writer. Joined Twitter 2 keep an eye on Donald.  Thank you to all the talented voices I follow. Don't follow me, I tweet like a madwoman.",NA,FALSE,1190,1778,17,160515,236022,2016-12-02 04:24:21,FALSE,NA,NA,"en",NA,NA,"http://pbs.twimg.com/profile_images/812147597028659200/z5uKhnOZ_normal.jpg"
"10","3401329126","HopeHickabeeSanders","JaykMan80","""low level volunteer""","not an actual White House volunteer",NA,FALSE,385,2920,0,15295,24617,2015-08-03 13:14:44,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/3401329126/1512328598","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/950729358326554624/9hAr4tIc_normal.jpg"
"11","822237572780982273","Jessica <f0><U+009F><U+008E><U+0086><f0><U+009F><U+008E><U+0087><f0><U+009F><U+008E><U+0086>","NoFascistsPls","New Jersey. ","Unless someone like you cares a whole awful lot, things aren't going to get better, they're just not

- Dr. Seuss, The Lorax.","https://t.co/bL7QJl2JDc",FALSE,4886,3246,141,223970,265445,2017-01-20 00:21:28,FALSE,"https://t.co/bL7QJl2JDc","https://www.theliberalgunclub.com","en","https://pbs.twimg.com/profile_banners/822237572780982273/1518238280",NA,"http://pbs.twimg.com/profile_images/902801414036090880/27q2yL2R_normal.jpg"
"12","83039567","Russ Fish","russfish53","Seattle","This and that, nothing special #stablegenius",NA,FALSE,123,587,0,15451,41545,2009-10-17 02:53:02,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/868626827752775680/fefgJWiY_normal.jpg"
"13","838602239950323712","Paulo","Birdtown216","Cleveland, OH","Conservative, Hibernian,Army Vet, Catholic Misanthrope, Animal Lover- Especially Dogs. Enjoy: Firearms, Strength Athletics, Ohio State & Cleveland Sports.",NA,FALSE,530,1008,3,8057,47762,2017-03-06 04:08:49,FALSE,NA,NA,"en",NA,NA,"http://pbs.twimg.com/profile_images/856858086916722689/9iP5bi-h_normal.jpg"
"14","216798758","Vicente Rodriguez","vrodriguez1967","Los Angeles, CA","Nuyorican pragmatist living in LA",NA,FALSE,234,700,1,1672,2625,2010-11-17 19:10:27,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/903325892121726976/0XQGqImm_normal.jpg"
"15","1862612154","Darla Caesar","dccc1055","Houston, TX","",NA,FALSE,234,390,2,21812,32830,2013-09-14 04:29:08,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"16","1862612154","Darla Caesar","dccc1055","Houston, TX","",NA,FALSE,234,390,2,21812,32830,2013-09-14 04:29:08,FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
